Time (est),LO-L1S-WQ Phycocyanin fluorescence (RFU)
2021-07-11 23:00:00,10.68
2021-07-12 00:00:00,10.51
2021-07-12 01:00:00,10.28
2021-07-12 02:00:00,11.02
2021-07-12 03:00:00,10.22
2021-07-12 04:00:00,10.98
2021-07-12 05:00:00,9.74
2021-07-12 06:00:00,9.97
2021-07-12 07:00:00,9.6
2021-07-12 08:00:00,10.19
2021-07-12 09:00:00,9.96
2021-07-12 10:00:00,9.14
2021-07-12 11:00:00,9.51
2021-07-12 12:00:00,9.83
2021-07-12 13:00:00,9.5
2021-07-12 14:00:00,12.84
2021-07-12 15:00:00,15.29
2021-07-12 16:00:00,16.11
2021-07-12 17:00:00,14.68
2021-07-12 18:00:00,13.55
2021-07-12 19:00:00,12.63
2021-07-12 20:00:00,12.5
2021-07-12 21:00:00,9.99
2021-07-12 22:00:00,10.92
2021-07-12 23:00:00,9.45
2021-07-13 00:00:00,9.57
2021-07-13 01:00:00,9.05
2021-07-13 02:00:00,8.39
2021-07-13 03:00:00,7.93
2021-07-13 04:00:00,7.5
2021-07-13 05:00:00,7.5
2021-07-13 06:00:00,7.01
2021-07-13 07:00:00,6.67
2021-07-13 08:00:00,7.35
2021-07-13 09:00:00,7.48
2021-07-13 10:00:00,9.02
2021-07-13 11:00:00,8.92
2021-07-13 12:00:00,9.27
2021-07-13 13:00:00,10.02
2021-07-13 14:00:00,10.06
2021-07-13 15:00:00,10.64
2021-07-13 16:00:00,11.83
2021-07-13 17:00:00,11.35
2021-07-13 18:00:00,10.21
2021-07-13 19:00:00,10.89
2021-07-13 20:00:00,10.06
2021-07-13 21:00:00,9.29
2021-07-13 22:00:00,8.43
2021-07-13 23:00:00,7.33
2021-07-14 00:00:00,6.75
2021-07-14 01:00:00,6.38
2021-07-14 02:00:00,6.12
2021-07-14 03:00:00,5.73
2021-07-14 04:00:00,5.45
2021-07-14 05:00:00,4.38
2021-07-14 06:00:00,4.72
2021-07-14 07:00:00,15.12
2021-07-14 12:00:00,
2021-07-14 13:00:00,153.18
2021-07-14 14:00:00,151.36
2021-07-14 15:00:00,148.79
2021-07-14 16:00:00,139.33
2021-07-14 17:00:00,144.3
2021-07-14 18:00:00,148.25
2021-07-14 19:00:00,143.62
2021-07-14 20:00:00,142.79
2021-07-14 21:00:00,144.2
2021-07-14 22:00:00,147.15
2021-07-14 23:00:00,152.32
2021-07-15 00:00:00,151.36
2021-07-15 01:00:00,153.22
2021-07-15 02:00:00,157.33
2021-07-15 03:00:00,161.05
2021-07-15 04:00:00,166.49
2021-07-15 05:00:00,
2021-07-15 06:00:00,262.13
2021-07-15 07:00:00,
2021-07-15 08:00:00,234.6
2021-07-15 09:00:00,280.16
2021-07-15 10:00:00,
2021-07-15 11:00:00,134.23
2021-07-15 12:00:00,141.09
2021-07-15 13:00:00,142.84
2021-07-15 14:00:00,149.06
2021-07-15 15:00:00,159.04
2021-07-15 16:00:00,158.22
2021-07-15 17:00:00,164.55
2021-07-15 18:00:00,156.54
2021-07-15 19:00:00,152.81
2021-07-15 20:00:00,149.59
2021-07-15 21:00:00,148.51
2021-07-15 22:00:00,148.74
2021-07-15 23:00:00,
2021-07-16 00:00:00,
2021-07-16 01:00:00,152.87
2021-07-16 02:00:00,157.51
2021-07-16 03:00:00,157.99
2021-07-16 04:00:00,148.16
2021-07-16 05:00:00,147.64
2021-07-16 06:00:00,143.28
2021-07-16 07:00:00,125.7
2021-07-16 08:00:00,110.59
2021-07-16 09:00:00,116.37
2021-07-16 10:00:00,125.16
2021-07-16 11:00:00,130.02
2021-07-16 12:00:00,133.91
2021-07-16 13:00:00,137.73
2021-07-16 14:00:00,138.01
2021-07-16 15:00:00,141.45
2021-07-16 16:00:00,142.79
2021-07-16 17:00:00,147.74
2021-07-16 18:00:00,155.02
2021-07-16 19:00:00,158.68
2021-07-16 20:00:00,163.1
